Reservoir,Reservoir_type,Year,Cyanobacteria_Max_cells/ml,logCyanoMax_cells/ml,Chlorophyll_a_ug/l,Secchi_cm,TP_ppb,P_dissolved_ppb,TKN_ppm,NH3_ppm,NOx_ppm,TOC_ppm,Alkalinity_ppm,NH36to8inflow_ppm,TKN6to8inflow_ppm,NOx6to8inflow_ppm,TP6to8inflow_ppb,TOC6to8inflow_ppm,Summer_precip_inches,Summer_precip_Z-score,mayST_Celsius,junST_Celsius,julST_Celsius,augST_Celsius,mayDO_mg/l,junDO_mg/l,mayDT_Celsius,junDT_Celsius,julDT_Celsius,augDT_Celsius
CBR,3,2016,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,8.65,-0.951,17.68,24.46,27.56,27.14,6.22,1.48,14.47,18.91,21.58,22.77
CBR,3,2017,2614925.2,6.417,19.98,36,35.6,19.3,1.01,0.061,0.998,9.18,192.3,0.029,0.195,3.74,57.5,3.5,15.97,1.306,18.2,22.98,25.18,25.43,6.42,0.62,16.45,20.26,24.16,23.72
CBR,3,2018,5940343.7,6.774,25.16,35.7,69.8,33.9,0.908,0.088,0.243,6.56,173,0.072,0.236,3,52.3,2.5,12.14,0.125,18.21,26.86,26.9,25.93,4.96,2.78,15.22,20.91,21.13,22.93
CCK,2,1987,403.3,2.606,9.2,52.5,5,5,0.333,0.075,2.983,3.33,166.3,0.15,0.4,4.025,121,4,7.94,-1.372,na,na,na,na,na,na,na, ,na,na
CCK,2,1988,2.4,0.38,23.13,44,20.8,32.5,0.478,0.05,3.624,3.72,138.4,0,0.367,1.74,23.8,4.2,10.17,-0.712,na,na,na,na,na,na,na,na,na,na
CCK,2,1989,na,na,7.33,41,27.4,10.85714286,0.353,0.145,3.474,2.61,143,0,0.467,3.067,48.7,3.3,12.48,-0.029,15.94,22.87,26.89,25.22,7.75,3.59,9.99,13.02,13.35,13.29
CCK,2,1990,na,na,3.5,41,63,50,na,na,na,na,140,0,0.467,4.633,81.3,2.3,17.16,1.356,15.39,21.96,26.47,25.66,6.62,3.02,10.79,15.42,16.96,18.37
CCK,2,1991,na,na,na,60,na,na,na,0.05,na,4,na,0,0.225,0.675,168.3,4.3,8.25,-1.28,19.94,24.43,26.29,25.3,9.4,na,10.35,11.49,14.72,12.6
CCK,2,1992,na,na,30.96,39.5,59.2,26.25,1.367,0.038,2.71,4.73,137.8,0,1,2.55,141.5,4,11.94,-0.189,16.81,22.99,22,24.72,8.71,4.56,7.38,7.77,7.21,10.52
CCK,2,1993,14461.8,4.16,11.99,34,na,na,na,0.068,na,5.8,150.7,0.067,na,na,na,6,5.93,-1.967,18.29,21.83,26.29,26.53,10.22,na,7.56,8.52,9.11,9.48
CCK,2,1994,na,na,11.46,47,na,na,na,na,na,7.86,na,na,na,na,na,9.5,14.1,0.45,15.87,25.41,27.45,26,8.76,3.24,9.69,10.62,11.6,11.56
CCK,2,1995,6745,3.829,na,43.3,na,na,na,na,na,9.33,78.3,na,na,2.29,na,12.2,11.72,-0.254,16.43,25.73,26.68,29.43,8.48,2.87,10.63,14.42,15.26,15.41
CCK,2,1996,na,na,na,38.7,na,na,na,na,2.99,5.83,101.7,na,na,2.4,na,5.2,12.06,-0.153,16.79,23.44,25.65,27.61,7.2,3.96,12.29,15.69,16.28,16.21
CCK,2,1997,na,na,14.75,49.3,na,na,na,na,2.6,7.26,na,na,na,1.129,na,10.4,17.26,1.385,15.06,23.17,27.63,25.8,6.92,4.05,9.73,15.39,16.58,17.08
CCK,2,1998,3094.9,3.491,28.46,52.3,na,na,na,na,na,na,na,na,na,na,na,na,14.77,0.649,20.6,23.15,27.77,26.92,4.58,2.23,11.14,14.72,16.89,18.13
CCK,2,1999,15475.5,4.19,na,62,23.5,5,1.8,na,4.384,4.19,102.7,na,1.75,0.965,53.8,3.9,8.16,-1.307,20.04,24.67,28.21,26.59,7.19,4.59,8.41,9.51,9.91,10.31
CCK,2,2000,33817.7,4.529,na,41.3,na,na,na,na,na,na,na,na,na,na,na,na,14.24,0.492,18.89,23.73,26.61,25.21,5.55,2.65,9.76,11.17,13.22,13.74
CCK,2,2001,25032.5,4.399,na,28,na,na,na,na,na,na,na,na,na,na,na,na,14.17,0.471,20.15,22.45,27.11,26.88,4.52,1.31,10.93,14.89,15.32,15.39
CCK,2,2002,41737.1,4.621,na,25.3,na,na,na,na,na,na,na,na,na,na,na,na,17.3,1.397,17.49,24.87,28.44,28.49,6.33,2.93,12.83,15.08,15.26,15.98
CCK,2,2003,123446.4,5.091,na,70.3,na,na,na,na,na,na,na,na,na,na,na,na,13.87,0.382,17.32,22.32,25.83,27.48,5.53,2.2,10.64,13.39,15.52,16.23
CCK,2,2004,7556.3,3.878,na,90.8,na,na,na,na,na,na,na,na,na,na,na,na,10.45,-0.629,20.11,24.19,25.36,24.87,7.09,2.67,10.08,15.75,16.65,16.73
CCK,2,2005,2038.5,3.309,na,96,na,na,na,na,na,na,na,na,na,na,na,na,10.93,-0.487,na,24.64,27.67,27.58,na,3.44,na,10.28,10.6,11.27
CCK,2,2006,15802.9,4.199,na,45.3,na,na,na,na,na,na,na,na,na,na,na,na,12.68,0.03,17.65,23.82,27.76,27.98,6.82,3.2,8.72,11.33,11.68,11.84
CCK,2,2007,146969.2,5.167,na,30,na,na,0.92,0.118,0.234,3.81,112,0,0.366,0.289,27,2.6,9.3,-0.97,20.93,24.72,25.65,27.87,7.11,4,7.8,9.17,9.23,10.01
CCK,2,2008,15428.6,4.188,na,na,37.5,na,na,0.069,1.96,7.92,130,0.061,na,0.474,25,20.3,11.03,-0.458,16.97,23.68,25.88,26.15,6.02,2.56,9.88,17.56,17.9,17.67
CCK,2,2009,na,na,na,54,136.4,na,0.907,0.076,4.825,12.61,190,0.115,0.81,6.55,94.5,16.5,10.05,-0.748,20.19,na,24.86,23.72,6.28,na,9.56,na,10.67,11.51
CCK,2,2010,63199.1,4.801,na,50,52.2,na,0.466,0.025,3.192,3.67,158.3,0,1.6,4.033,360,4.9,13.56,0.291,17.9,24.94,27.72,27.72,4.96,1.34,9.15,11.18,13.14,13.39
CCK,2,2011,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,9.46,-0.922,na,na,na,na,na,na,na,na,na,na
CCK,2,2012,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,7.49,-1.505,21.25,na,na,na,3.57,na,8.33,na,na,na
CCK,2,2013,2823423.8,6.451,13.35,60,3.5,na,na,0.262,1.12,3.71,126.7,na,na,na,na,na,14.26,0.498,na,na,na,na,na,na,na,na,na,na
CCK,2,2014,787281.3,5.896,na,46,53,na,1.8,0.176,0.717,4.45,142,na,na,na,na,na,14.66,0.616,na,na,na,na,na,na,na,na,na,na
CCK,2,2015,572727.2,5.758,12.67,25,24.5,na,1.138,0.145,1.237,4.9,142.4,0.11,0.4,4.59,22,3.5,18.84,1.853,na,na,26.03,na,na,na,na,na,20.82,na
CCK,2,2016,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,12.87,0.087,17.39,27.5,28.07,28.46,5.58,3.05,10.24,11.36,11.42,12
CCK,2,2017,463459.1,5.666,4.48,48,46.3,17.3,0.862,0.101,2.378,5.15,180.2,0.071,0.35,3.18,62,3,16.81,1.252,18.79,24.84,na,26.15,4.25,0.78,14.38,14.87,na,17.94
CCK,2,2018,1394779.7,6.145,17.15,50.7,71.7,38.86666667,0.732,0.117,1.049,5.69,134,0.092,0.39,2.69,64.8,4.6,18.57,1.773,18.84,25.22,28.39,26.37,6.62,3.14,10.8,11.59,12.93,13.68
CFK,1,1987,na,na,8.87,na,5,5,na,0.05,na,1,na,0,na,na,10.5,0.9,11.76,-0.501,na,na,na,na,na,na,na,na,na,na
CFK,1,1988,919.1,2.963,15,70,29.5,16.5,na,0.05,na,2.5,71.5,0,na,na,14.6,2,6.76,-1.616,na,na,na,na,na,na,na,na,na,na
CFK,1,1989,na,na,5.63,63,10.8,5,na,0.1,na,1.67,61.8,0.15,na,na,38.3,3.3,20.52,1.453,16.72,24.31,26.93,27.02,7.05,4.59,10.02,13.55,15.06,15.39
CFK,1,1990,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,15.09,0.242,19.25,25.06,27.87,27.29,7.72,4.39,9.77,10.86,12.54,13.2
CFK,1,1991,na,na,na,na,na,na,na,0.05,na,2,66,0,na,na,na,6.2,12.16,-0.412,22.8,26.98,29.23,27.12,na,4.55,9.85,10.29,10.91,12.39
CFK,1,1992,2333.3,3.368,5.31,73,na,na,na,0.058,na,5.33,43,0.044,na,na,na,4.2,16.66,0.592,19.55,24.08,26.53,26.37,7.33,6.21,8.39,8.8,11.24,13.2
CFK,1,1993,12461.4,4.096,3.85,84,na,na,na,na,na,na,79,na,na,na,na,na,16.75,0.612,20.46,25.29,29.23,27.89,7.67,6.29,8.24,8.81,10.16,12.61
CFK,1,1994,na,na,na,117.5,na,na,na,na,na,4.25,na,na,na,na,na,11.4,11.03,-0.664,18.16,25.11,26.67,25.6,6.35,3.96,11.04,11.46,10.86,13.11
CFK,1,1995,2968.6,3.473,3.31,103,na,na,na,na,na,4.8,74.5,na,na,0.318,na,8.4,8.68,-1.188,18.92,24.36,27.64,29.23,7.53,4.38,11.04,13.34,11.28,14.5
CFK,1,1996,na,na,na,113.3,na,na,na,na,na,3.54,70.5,na,na,0.471,na,4.2,12.82,-0.265,20.11,25.97,27.43,27.99,7.26,3.25,10.59,16.37,16.82,17.53
CFK,1,1997,na,na,5.16,48,na,na,na,na,0.018,4.04,na,na,na,0.267,na,5.6,13.95,-0.013,17.83,24.52,28.44,27.08,5.03,3.24,11.66,13.84,17.45,17.66
CFK,1,1998,759.9,2.881,4.43,90.5,na,na,na,na,na,na,na,na,na,na,na,na,15.55,0.344,22.19,26.44,28.35,27.83,5.66,3.9,12.52,14.76,16.1,17.23
CFK,1,1999,128,2.107,na,na,18,5,0.2,na,0.058,2.32,75.5,na,0.467,0.283,16.7,2.3,6.83,-1.601,21.86,26.27,27.98,26.71,7.62,7.03,9.89,10.76,11.79,12.85
CFK,1,2000,471.9,2.674,na,72,na,na,na,na,na,na,na,na,na,na,na,na,16.67,0.594,20.51,25.36,27.26,27.3,5.83,4.08,11.09,12.1,18.02,20.07
CFK,1,2001,438.2,2.642,na,79,na,na,na,na,na,na,na,na,na,na,na,na,14.29,0.063,21.76,25.11,26.93,27.47,7.36,6.59,8.28,9.21,10.3,18.04
CFK,1,2002,134.1,2.127,na,108.7,na,na,na,na,na,na,na,na,na,na,na,na,11.75,-0.503,19.17,26.62,28.96,28.75,4.84,3.51,13.69,13.75,14.34,15.3
CFK,1,2003,11475.5,4.06,na,59.3,na,na,na,na,na,na,na,na,na,na,na,na,19.42,1.207,21.3,24.05,26.3,27.87,6.01,2.77,13.33,16.95,17.67,18.63
CFK,1,2004,1347.1,3.129,na,96.3,na,na,na,na,na,na,na,na,na,na,na,na,13.16,-0.189,21.43,24.79,28,27.89,7.77,3.69,10.15,16.9,17.6,17.86
CFK,1,2005,171.4,2.234,na,92,na,na,na,na,na,na,na,na,na,na,na,na,9.66,-0.969,21.71,27.76,27.18,28.75,6.1,4.37,10.83,11.48,12.79,13.32
CFK,1,2006,2919,3.465,na,99.7,na,na,na,na,na,na,na,na,na,na,na,na,11.54,-0.55,21.3,25.38,28.4,28.78,6.75,3.38,11,12.28,14.14,16.08
CFK,1,2007,1351.5,3.131,na,132,na,na,0.339,0.018,0.008,3.12,121.6,0,0.076,0.334,12.4,2.5,5.29,-1.944,22.4,26.08,25.95,28.05,6.86,4.16,10.58,10.43,11.66,12.57
CFK,1,2008,1876.3,3.273,na,216,0.7,na,0.23,0.038,0.017,12.57,172.9,0.052,0.24,0.267,21.9,20,9.46,-1.014,18.12,24.07,27.08,27.2,5.89,4.58,8.72,9.12,10.96,12.59
CFK,1,2009,na,na,na,67,39.8,na,0.781,0.043,0.126,8.31,120,0.041,0.589,3.187,269.3,9.2,16.58,0.574,21.96,24.88,26.52,27.97,8.85,4.59,12.86,15.62,18.06,19.43
CFK,1,2010,na,na,na,100,na,na,na,na,na,na,na,na,na,na,na,na,13.24,-0.171,21.88,28.93,29.46,29.73,8.12,4.08,11.36,12.02,13.44,15.24
CFK,1,2011,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,13.9,-0.024,na,na,na,na,na,na,na,na,na,na
CFK,1,2012,64353.2,4.809,na,74,na,na,na,na,na,na,na,na,na,na,na,na,15.06,0.235,na,na,na,25.98,na,na,na,na,na,19.92
CFK,1,2013,1033383.8,6.014,4.81,87,8,na,na,0.017,0.148,3.82,na,0.084,na,0.33,61,5.9,28.35,3.199,na,na,na,26.55,na,na,na,na,na,16.43
CFK,1,2014,51249.4,4.71,na,144,6.7,na,0.806,0.065,0.037,3.11,103.6,0.124,1.1,0.65,13.4,3.4,17.69,0.821,na,na,27.24,26.28,na,na,na,na,11.5,14.09
CFK,1,2015,96946.6,4.987,2.45,103,2,na,0.429,0.129,0.005,2.86,126,na,na,na,na,na,15.56,0.346,na,na,na,28.53,na,na,na,na,na,19.73
CFK,1,2016,85879.1,4.934,2.02,249,31.6,na,0.286,0.102,0.04,4.21,131,na,na,na,na,na,16.45,0.545,19.56,27.4,29.35,30.43,6.21,7.04,10.05,12.78,13.92,15.94
CFK,1,2017,67562.9,4.83,4.05,156,7.6,57.7,0.164,0.065,0.006,4.23,94.4,0.081,0.16,0.164,20,2.7,14.18,0.039,21.13,26.07,28.85,28.14,6.36,3.29,13.21,15.57,16.39,18.12
CFK,1,2018,396553.2,5.598,6.19,168,88.8,89.2,0.152,0.074,0.036,3.26,129.5,na,na,na,na,na,17.41,0.759,23.35,27.41,29.35,28.33,6.4,5.9,10.83,12.84,14.89,16.29
CHL,3,1987,na,na,45.6,24,23.5,18,0.4,0.05,1,4.5,129.5,0,0.3,1.95,84,2.5,18.17,1.736,na,na,na,na,na,na,na,na,na,na
CHL,3,1988,na,na,30.8,36,50,1150,0.4,0.05,3.9,2.33,113,0,0.4,0.325,47.5,1.8,6.88,-1.307,na,na,na,na,na,na,na,na,na,na
CHL,3,1989,na,na,8.25,42,27,26,0.5,0.05,3.2,1.5,121.5,0.15,0.5,2.4,118.5,2.5,13.61,0.507,16.74,24.77,27.04,25.81,5.92,0.98,10.87,16.16,18.83,21.87
CHL,3,1990,na,na,3.25,32,na,na,na,na,na,na,na,na,na,na,na,na,14.77,0.82,15.08,21.91,25.96,26.74,9.36,na,10.84,15.9,19.97,21.92
CHL,3,1991,na,na,na,na,13.3,5,0.6,0.05,1.6,na,176,0,0.25,0.15,32.5,7,7.12,-1.242,20.78,27.44,27.93,25.27,4.39,3.99,12.77,14.13,14.96,15.2
CHL,3,1992,9499.8,3.978,4.79,64,30,na,0.65,na,na,6,130,0.3,0.3,3.9,38,5.5,14.2,0.666,17.58,23.64,24.54,23.64,8.5,2.01,11.67,12.97,14.46,18.04
CHL,3,1993,268000,5.428,na,16,na,na,na,0.15,na,5,128.5,0.15,na,na,na,4,16.92,1.4,17.17,22.6,28.64,27.68,7.44,2.04,11.47,15.35,21.07,22.75
CHL,3,1994,na,na,23.45,24,na,na,na,na,na,8,na,na,na,na,na,16.3,7.15,-1.234,17.6,25.59,27.65,25.57,4.05,0.75,12.76,16.31,18.94,19.4
CHL,3,1995,9716.2,3.987,6.48,25,na,na,na,na,na,9.9,85,na,na,na,na,16.1,8.78,-0.795,16.58,23.28,26.88,29.13,5.05,0.75,13.36,15.72,17.59,18.27
CHL,3,1996,na,na,na,58,na,na,na,na,na,5.5,137,na,na,3.86,na,6.5,9.52,-0.595,16.32,23.37,26.24,26.72,6.15,2.62,12.9,15.87,19.37,20.53
CHL,3,1997,na,na,4.33,58,na,na,na,na,2.63,4.39,na,na,na,0.371,na,6.9,8.95,-0.749,15.44,21.77,27.57,25.39,6.86,3.29,13.36,15.71,17.55,18.53
CHL,3,1998,7148.1,3.854,23.75,45,na,na,na,na,na,5.3,130,na,0.6,na,na,4.5,14.95,0.869,19.71,23.79,28.34,26.97,4.03,1.43,14.25,17.48,20.95,23.36
CHL,3,1999,25791.4,4.411,na,36,20,5,na,na,na,5.9,99,na,1.4,0.32,100,5,11.69,-0.01,19.66,23.96,28.9,27.64,4.95,1.3,12.47,16.08,18.47,19.41
CHL,3,2000,29638.5,4.472,na,20,na,na,na,na,na,na,na,na,na,na,na,na,15.89,1.122,19.54,24.16,26.87,26.35,na,2.51,na,16.9,19.13,19.68
CHL,3,2001,5544,3.744,na,38,na,na,na,na,na,na,na,na,na,na,na,na,17.89,1.661,20.68,25.16,28.55,28.61,2.17,2.05,13.24,16.37,18.43,19.16
CHL,3,2002,8894,3.949,na,38,na,na,na,na,na,na,na,na,na,na,na,na,7.23,-1.212,16.37,24.52,28.72,27.78,5.35,2.13,13.33,16.49,21.26,21.58
CHL,3,2003,14217.4,4.153,na,43,na,na,na,na,na,na,na,na,na,na,na,na,13.37,0.443,19.22,22.02,26.4,27.06,2.62,1.48,14.4,17.75,19.24,22.62
CHL,3,2004,31371.5,4.497,na,32,na,na,na,na,na,na,na,na,na,na,na,na,12.15,0.114,19.82,25.24,26.38,24.86,2.64,1.12,13.96,18.92,21.61,21.2
CHL,3,2005,57073,4.756,na,38,na,na,na,na,na,na,na,na,na,na,na,na,14.53,0.755,18.43,24.91,26.98,27.74,5.81,0.51,12.91,16.41,17.89,20.34
CHL,3,2006,53024.8,4.724,na,39.3,na,na,na,na,na,na,na,na,na,na,na,na,9.39,-0.63,17.62,25.61,26.19,27.95,4.79,1.28,14.22,17.3,20.52,21.87
CHL,3,2007,90806.6,4.958,na,42,na,na,0.934,0.018,0.008,4.54,110,0,0.491,0.199,9,2.5,9.84,-0.509,20.44,24.67,26.93,26.97,4.95,0.53,12.27,14.37,16.65,16.57
CHL,3,2008,55698.8,4.746,na,42,52,na,0.806,0.142,1.56,10.88,110,0.082,0.835,4.85,165,21.5,18.18,1.739,15.61,23.71,26.29,26.9,6.6,1.57,13.3,18.11,22.53,25.51
CHL,3,2009,na,na,na,42,83.6,na,0.859,0.106,8.179,12.11,145,0.195,1.3,9.25,160,13.5,12.79,0.286,18.2,26.29,26.5,26.22,3.78,0.6,14.37,18.5,21.19,22.61
CHL,3,2010,na,na,na,42,24,na,0.46,0.025,1.8,4.2,130,0,0.14,3.6,100,3.2,13.69,0.529,18.72,26.43,28.43,29.32,2.31,6.16,15.1,18.45,24.28,27.14
CHL,3,2011,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,6.91,-1.299,na,na,na,na,na,na,na,na,na,na
CHL,3,2012,261051.8,5.417,na,28,na,na,na,na,na,na,na,na,na,na,na,na,5.41,-1.703,na,na,na,27.97,na,na,na,na,na,19.08
CHL,3,2013,4195412.2,6.623,34.84,36,9.6,na,na,0.068,0.109,5.13,170,na,na,na,na,na,9.85,-0.506,na,na,na,na,na,na,na,na,na,na
CHL,3,2014,na,na,na,72,35.8,na,1.75,0.089,0.883,4.3,126,na,na,na,na,na,7.44,-1.156,na,na,24.9,na,na,na,na,na,17.32,na
CHL,3,2015,463806.6,5.666,18.4,38,4.4,na,1.06,0.094,0.816,5.26,128,0.08,0.6,2.65,2,2.8,13.1,0.37,na,na,25.8,26.91,na,na,na,na,21.1,22.28
CHL,3,2016,393856.5,5.595,17.82,45,49.5,na,0.792,0.152,0.073,6.1,127.3,na,na,na,na,na,11.64,-0.024,16.7,27.34,28.04,na,4,0.35,14.13,17.2,18.38,21.32
CHL,3,2017,2982220.1,6.475,15.08,27,43.2,28.76666667,1.008,0.117,1.019,6.75,123,0.076,0.36,3.96,50,3.2,9.08,-0.714,18.82,24.99,28.04,na,4.29,0.3,13.23,18.37,22.33,22.97
CHL,3,2018,5320729.4,6.726,24.98,30,75.8,46.8,1.227,0.091,1.193,8.21,109.5,0.044,0.451,4.51,122,4.7,14.2,0.666,19.26,26.5,27.9,na,6.34,0.51,11.27,14.9,21.58,21.26
CMR,3,1987,na,na,71.2,24,5,5,0.4,0.05,1.05,6,116,0.1,0.4,1.5,108,4,18.79,1.555,na,na,na,na,na,na,na,na,na,na
CMR,3,1988,na,na,23,36,70,na,0.4,0.05,1.5,2.5,108.5,0,0.25,1.075,85,3,8.74,-1.028,na,na,na,na,na,na,na,na,na,na
CMR,3,1989,na,na,7.67,41,22.3,17.66666667,0.6,0.067,3.1,2,115,0.167,0.467,1.833,94.3,2.3,15.08,0.602,18.02,24.85,27.75,26.92,7.44,3.28,11.87,15.95,17.74,20.46
CMR,3,1990,na,na,14.23,15.8,183.7,100.1818182,0.809,0.468,1.39,4.91,83,0,0.467,1.9,88.7,2.2,13.89,0.296,16.11,23.84,27.54,25.42,9.13,8.73,11.53,15.87,19.13,20.93
CMR,3,1991,na,na,na,na,28.3,5,0.581,0.25,0.567,6.67,121,0,0.35,0.35,48,6,11.79,-0.244,22.23,27.08,27.85,26.41,4.58,0.81,12.1,14.62,17.63,19.14
CMR,3,1992,1668.7,3.222,8.47,23,42.5,na,0.75,na,na,6,86.3,1,0.3,1.6,30,5,14.67,0.496,19.41,24.35,25.66,24.74,8.72,na,12.02,13.42,19.57,20.56
CMR,3,1993,51040,4.708,na,37,na,na,na,0.2,na,4,104,0.2,na,na,na,3,19.62,1.768,17.79,23.85,27.71,26.64,7.54,5.14,13.01,17,20.95,21.66
CMR,3,1994,na,na,19.22,20,na,na,na,na,na,8,na,na,na,na,na,13.7,11.2,-0.396,18.53,25.55,28.6,25.85,3.03,0.2,12.34,16.79,20.33,20.96
CMR,3,1995,33826.7,4.529,8.63,19,na,na,na,na,na,11,79,na,na,0.209,na,16.4,8.93,-0.979,18.25,25.32,27.58,29.39,4.51,0.71,14.46,16.33,17.81,19.35
CMR,3,1996,na,na,na,45,na,na,na,na,na,4.71,124,na,na,2.63,na,5.8,10.77,-0.506,17.3,na,26.08,28.71,6.15,na,13.31,na,17.23,19.5
CMR,3,1997,na,na,19.25,40,na,na,na,na,1.63,4.46,na,na,na,1.42,na,6.5,13.83,0.28,16.44,22.7,28.06,25.93,5.64,1.97,13.55,15.44,18.12,19.49
CMR,3,1998,13406.4,4.127,49.6,28,na,na,na,na,na,na,na,na,na,na,na,na,13.89,0.296,25.22,23.84,27.72,27.28,3.53,0.62,13.74,17.64,20.66,22.59
CMR,3,1999,42653.4,4.63,na,28,40,50,na,na,na,7,83,na,0.4,0.26,70,3.8,11.75,-0.254,21.5,24.3,29.91,26.85,1.77,0.25,13.92,17.82,19.47,20.59
CMR,3,2000,31645.5,4.5,na,18,na,na,na,na,na,na,na,na,na,na,na,na,16.02,0.843,20.15,24.78,27.54,26.6,2.5,0.44,13.6,17.82,20.27,21.93
CMR,3,2001,39080.5,4.592,na,38,na,na,na,na,na,na,na,na,na,na,na,na,16.53,0.974,22.65,23.46,27.83,28.94,1,0.77,15.45,17.73,19.39,22.01
CMR,3,2002,10765.4,4.032,na,37,na,na,na,na,na,na,na,na,na,na,na,na,10.15,-0.666,20.6,25.31,30.46,28.22,5.53,1.43,13.42,16.13,19.98,21.35
CMR,3,2003,15730,4.197,na,38,na,na,na,na,na,na,na,na,na,na,na,na,13.48,0.19,19.26,23.34,26.91,28.79,2.95,1.49,14.34,17,19.91,23
CMR,3,2004,42471.3,4.628,na,27,na,na,na,na,na,na,na,na,na,na,na,na,10.96,-0.457,20.02,26.25,26.76,25.61,2.51,2.29,14.6,19.1,21.98,22.17
CMR,3,2005,43400,4.637,na,31,na,na,na,na,na,na,na,na,na,na,na,na,19.08,1.63,20.15,27.15,28.56,29.56,4.56,0.5,13.58,17.71,20.39,22.25
CMR,3,2006,50321,4.702,na,24.5,na,na,na,na,na,na,na,na,na,na,na,na,11.56,-0.303,18.4,25.75,28.88,28.92,2.54,0.47,12.9,17.63,20.99,22
CMR,3,2007,45240,4.656,na,42,na,na,0.674,0.018,0.008,3.74,112,0,0.348,0.212,53,3.2,10.02,-0.699,21.17,26.56,27.88,29.45,1.4,0.35,11.59,14.45,17.87,19.48
CMR,3,2008,47229.5,4.674,na,na,42,na,0.574,0.044,0.78,12.33,82,0.048,0.655,2.05,175,12.5,21.62,2.282,17.51,26.35,27.25,27.4,4.31,2.72,11.99,17.8,na,22.8
CMR,3,2009,na,na,na,25.5,159.9,na,1.152,0.075,5.733,9.85,114.3,0.062,0.68,10.55,185,20.5,12.92,0.046,20.85,25.83,26.22,27.07,5.18,0.45,13.48,16.92,21.03,23.42
CMR,3,2010,195379.8,5.291,na,31,32,na,0.65,0.025,1.4,4.4,110,0,1.5,1.5,180,8,11.91,-0.213,20.7,26.98,28.38,29.08,2.09,-0.04,16.22,18.2,23.74,24.3
CMR,3,2011,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,7.6,-1.321,na,na,na,na,na,na,na,na,na,na
CMR,3,2012,164772.7,5.217,na,40,na,na,na,na,na,na,na,na,na,na,na,na,2.13,-2.727,na,na,na,28.78,na,na,na,na,na,na
CMR,3,2013,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,8.26,-1.151,na,na,na,na,na,na,na,na,na,na
CMR,3,2014,526985.2,5.722,na,33,34,na,0.9,0.073,0.005,4.4,na,na,na,na,na,na,11,-0.447,na,na,na,na,na,na,na,na,na,na
CMR,3,2015,344742.1,5.537,6.05,37,27.3,na,1.333,0.14,0.354,4.9,145.2,0.164,0.8,0.849,60,3,11.64,-0.283,na,na,na,27.08,na,na,na,na,na,22
CMR,3,2016,418561.7,5.622,15.79,33,59.7,na,1.039,0.137,0.422,8.07,116.5,na,na,na,na,na,15.15,0.619,18.58,27.07,30.43,29.16,4.25,0.62,13.71,18.2,23.33,23.8
